Fulltext;key;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
Y;conf/apnoms/ChenJHL12;Design and implementation of database schema evolution for service continuity of web-based internet applications.;Yi-Chang Chen, Jeu-Yih Jeng, Teh-Sheng Huang, Phone Lin;2012;APNOMS;Conference and Workshop Papers;https://dblp.org/rec/conf/apnoms/ChenJHL12;https://doi.org/10.1109/APNOMS.2012.6356090;1-Απρ;;;;;10.1109/APNOMS.2012.6356090
Y;conf/comad/NeamtiuBULB13;Improving Cloud Availability with On-the-fly Schema Updates.;Iulian Neamtiu, Jonathan Bardin, Md. Reaz Uddin, Dien-Yen Lin, Pamela Bhattacharya;2013;COMAD;Conference and Workshop Papers;https://dblp.org/rec/conf/comad/NeamtiuBULB13;http://comad.in/comad2013/pdfs/neamtiu.pdf;24-34;;;;;
N;conf/data/Vassiliadis16;Schema Evolution for Relational Databases.;Panos Vassiliadis;2016;DATA;Conference and Workshop Papers;https://dblp.org/rec/conf/data/Vassiliadis16;;5;;;;;
Y;conf/dolap/0001RSA12;ORE: an iterative approach to the design and evolution of multi-dimensional schemas.;Petar Jovanovic , Oscar Romero , Alkis Simitsis, Alberto Abelló;2012;DOLAP;Conference and Workshop Papers;https://dblp.org/rec/conf/dolap/0001RSA12;https://doi.org/10.1145/2390045.2390047;1-Αυγ;;;;;10.1145/2390045.2390047
Y;conf/edbt/BeineHWC14;"Bidirectional Transformations in Database Evolution: A Case Study &quot;At Scale&quot;.";Mathieu Beine, Nicolas Hames, Jens H. Weber, Anthony Cleve;2014;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/BeineHWC14;https://ceur-ws.org/Vol-1133/paper-16.pdf;100-107;;;;;
Y;conf/edbt/StorlK22;Darwin: A Data Platform for Schema Evolution Management and Data Migration.;Uta Störl, Meike Klettke;2022;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/StorlK22;https://ceur-ws.org/Vol-3135/dataplat_short3.pdf;;;;;;
Y;conf/emisa/ChiaoKR14;Towards schema evolution in object-aware process management systems.;Carolina Ming Chiao, Vera Künzle, Manfred Reichert;2014;EMISA;Conference and Workshop Papers;https://dblp.org/rec/conf/emisa/ChiaoKR14;https://dl.gi.de/handle/20.500.12116/3040;101-115;;;;;
Y;conf/gvd/AugeH18;Inverses in Research Data Management: Combining Provenance Management, Schema and Data Evolution (Inverse im Forschungsdatenmanagement).;Tanja Auge, Andreas Heuer;2018;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/AugeH18;https://ceur-ws.org/Vol-2126/paper17.pdf;108-113;;;;;
Y;conf/gvd/Moller18;Data Evolution and Migration Strategies for NoSQL Databases (Datenevolutions- und Migrationsstrategien in NoSQL-Datenbanken).;Mark Lukas Möller;2018;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/Moller18;https://ceur-ws.org/Vol-2126/paper2.pdf;16-22;;;;;
Y;conf/gvd/NosingerKH13;A Conceptual Model for the XML Schema Evolution.;Thomas Nösinger, Meike Klettke, Andreas Heuer;2013;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/NosingerKH13;https://ceur-ws.org/Vol-1020/paper_05.pdf;28-33;;;;;
Y;conf/icdim/CastelltortL13;Representing history in graph-oriented NoSQL databases: A versioning system.;Arnaud Castelltort, Anne Laurent;2013;ICDIM;Conference and Workshop Papers;https://dblp.org/rec/conf/icdim/CastelltortL13;https://doi.org/10.1109/ICDIM.2013.6694022;228-234;;;;;10.1109/ICDIM.2013.6694022
Y;conf/isdevel/PolakMP12;XML Query Adaptation as Schema Evolves.;Marek Polák, Irena Mlýnková, Eric Pardede;2012;ISD;Conference and Workshop Papers;https://dblp.org/rec/conf/isdevel/PolakMP12;https://doi.org/10.1007/978-1-4614-7540-8_31;401-416;;;;;10.1007/978-1-4614-7540-8_31
Y;conf/issta/0003D13;Early detection of faults related to database schematic changes.;Deepak Garg , Amitava Datta;2013;JAMAICA@ISSTA;Conference and Workshop Papers;https://dblp.org/rec/conf/issta/0003D13;https://doi.org/10.1145/2489280.2489283;1-Ιουν;;;;;10.1145/2489280.2489283
Y;conf/lwa/MollerKS19;Keeping NoSQL Databases Up to Date - Semantics of Evolution Operations and their Impact on Data Quality.;Mark Lukas Möller, Meike Klettke, Uta Störl;2019;LWDA;Conference and Workshop Papers;https://dblp.org/rec/conf/lwa/MollerKS19;https://ceur-ws.org/Vol-2454/paper_19.pdf;25-37;;;;;
Y;conf/sbbd/DesantiBFS13;A Redundancy-Free Approach to Schema Evolution.;Claudiomar Desanti, Marcos Bernardelli, Márcio Fuckner, Raquel Kolitski Stasiu;2013;SBBD;Conference and Workshop Papers;https://dblp.org/rec/conf/sbbd/DesantiBFS13;http://www.lbd.dcc.ufmg.br/colecoes/sbbd/2013/007.pdf;7:1-7:6;;;;;
Y;conf/sbbd/YamanakaAADPSA24;Statistical Validation of Column Matching in the Database Schema Evolution of the Brazilian Public School Census.;Muriki G. Yamanaka, Diogo Henrique de Almeida, Paulo Ricardo Lisboa de Almeida, Simone Dominico, Letícia M. Peres, Marcos Sfair Sunyé, Eduardo C. de Almeida;2024;SBBD;Conference and Workshop Papers;https://dblp.org/rec/conf/sbbd/YamanakaAADPSA24;https://doi.org/10.5753/sbbd.2024.240840;498-509;;;;;10.5753/SBBD.2024.240840
Y;conf/semweb/DividinoSGG13;Change-a-LOD: Does the Schema on the Linked Data Cloud Change or Not?;Renata Queiroz Dividino, Ansgar Scherp, Gerd Gröner, Thomas Grotton;2013;COLD;Conference and Workshop Papers;https://dblp.org/rec/conf/semweb/DividinoSGG13;https://ceur-ws.org/Vol-1034/DividinoEtAl_COLD2013.pdf;;;;;;
Y;conf/time/BrahmiaGOB14;High-Level Operations for Creation and Maintenance of Temporal and Conventional Schema in the tauXSchema Framework.;Zouhaier Brahmia, Fabio Grandi , Barbara Oliboni, Rafik Bouaziz;2014;TIME;Conference and Workshop Papers;https://dblp.org/rec/conf/time/BrahmiaGOB14;https://doi.org/10.1109/TIME.2014.14;101-110;;;;;10.1109/TIME.2014.14
Y;conf/vem/LawrenceB21;Assessing the Occurrence of Blocking Operations in Database Schema Evolution: A Case Study.;Willie Lawrence, Eiji Adachi Barbosa;2021;VEM;Conference and Workshop Papers;https://dblp.org/rec/conf/vem/LawrenceB21;https://doi.org/10.5753/vem.2021.17209;6-Οκτ;;;;;10.5753/VEM.2021.17209
Y;conf/vldb/Gobert20;Schema Evolution in Hybrid Databases Systems.;Maxime Gobert;2020;PhD@VLDB;Conference and Workshop Papers;https://dblp.org/rec/conf/vldb/Gobert20;https://ceur-ws.org/Vol-2652/paper08.pdf;;;;;;
Y;conf/www/TanonK18;Property Label Stability in Wikidata: Evolution and Convergence of Schemas in Collaborative Knowledge Bases.;Thomas Pellissier Tanon, Lucie-Aimée Kaffee;2018;WWW;Conference and Workshop Papers;https://dblp.org/rec/conf/www/TanonK18;https://doi.org/10.1145/3184558.3191643;1801-1803;;;;;10.1145/3184558.3191643
Y;journals/bpmj/ArunagiriR15;Data perspectives of workflow schema evolution.;Aravindhan Arunagiri, Parthasarathy Ramachandran;2015;Bus. Process. Manag. J.;Journal Articles;https://dblp.org/rec/journals/bpmj/ArunagiriR15;https://doi.org/10.1108/BPMJ-07-2013-0097;172-189;21;1;;;10.1108/BPMJ-07-2013-0097
Y;journals/corr/ScherzingerKS13;Managing Schema Evolution in NoSQL Data Stores.;Stefanie Scherzinger, Meike Klettke, Uta Störl;2013;DBPL;Conference and Workshop Papers;https://dblp.org/rec/journals/corr/ScherzingerKS13;http://arxiv.org/abs/1308.0514;;;;;;
Y;journals/dke/FedushkoMSS24;NoSQL document data migration strategy in the context of schema evolution.;Solomiia Fedushko, Roman Malyi, Yuriy Syerov, Pavlo Serdyuk;2024;Data Knowl. Eng.;Journal Articles;https://dblp.org/rec/journals/dke/FedushkoMSS24;https://doi.org/10.1016/j.datak.2024.102369;102369;154;;;;10.1016/J.DATAK.2024.102369
Y;journals/dke/HolubovaVS21;Evolution management in multi-model databases.;Irena Holubová, Michal Vavrek, Stefanie Scherzinger;2021;Data Knowl. Eng.;Journal Articles;https://dblp.org/rec/journals/dke/HolubovaVS21;https://doi.org/10.1016/j.datak.2021.101932;101932;136;;;;10.1016/J.DATAK.2021.101932
Y;journals/dpd/PrabhuneSSHG18;MetaStore: an adaptive metadata management framework for heterogeneous metadata models.;Ajinkya Prabhune, Rainer Stotzka, Vaibhav Sakharkar, Jürgen Hesser, Michael Gertz;2018;Distributed Parallel Databases;Journal Articles;https://dblp.org/rec/journals/dpd/PrabhuneSSHG18;https://doi.org/10.1007/s10619-017-7210-4;153-194;36;1;;;10.1007/S10619-017-7210-4
Y;journals/ijiids/AnguelAB17;Using logic programming for adapting models to metamodel evolution.;Fouzia Anguel, Abdelkrim Amirat, Nora Bounour;2017;Int. J. Intell. Inf. Database Syst.;Journal Articles;https://dblp.org/rec/journals/ijiids/AnguelAB17;https://doi.org/10.1504/IJIIDS.2017.10007348;69-93;10;1-Φεβ;;;10.1504/IJIIDS.2017.10007348
Y;journals/rcs/BoukettayaNG20;Data Migration in Graph-oriented Databases.;Soumaya Boukettaya, Ahlem Nabli, Faïez Gargouri;2020;Res. Comput. Sci.;Journal Articles;https://dblp.org/rec/journals/rcs/BoukettayaNG20;https://rcs.cic.ipn.mx/2020_149_10/Data%20Migration%20in%20Graph-oriented%20Databases.pdf;317-336;149;10;;;
