key|ee|title|authors|year|venue
conf/ic3k/AzaiezA14|https://doi.org/10.5220/0005158304280435|How to Guarantee Analysis Results Coherence after Data Warehouse Schema Changes Propagation towards Data Marts?.|['Noura Azaiez', 'Jalel Akaichi']|2014|KEOD
conf/adbis/JannaschkJT14|https://doi.org/10.1007/978-3-319-10518-5_21|Technologies for Databases Change Management.|['Kai Jannaschk', 'Hannu Jaakkola', 'Bernhard Thalheim']|2014|ADBIS
conf/csmr/MeuriceC14|https://doi.org/10.1109/CSMR-WCRE.2014.6747219|DAHLIA: A visual analyzer of database schema evolution.|['Loup Meurice', 'Anthony Cleve']|2014|CSMR-WCRE
conf/dexa/AmaviCAR14|https://doi.org/10.1007/978-3-319-10073-9_24|A ToolBox for Conservative XML Schema Evolution and Document Adaptation.|['Joshua Amavi', 'Jacques Chabin', 'Mirian Halfeld Ferrari Alves', 'Pierre Réty']|2014|DEXA
conf/emisa/ChiaoKR14|https://dl.gi.de/handle/20.500.12116/3040|Towards schema evolution in object-aware process management systems.|['Carolina Ming Chiao', 'Vera Künzle', 'Manfred Reichert']|2014|EMISA
conf/caise/SkoulisVZ14|https://doi.org/10.1007/978-3-319-07881-6_26|Open-Source Databases: Within, Outside, or Beyond Lehman&apos;s Laws of Software Evolution?|['Ioannis Skoulis', 'Panos Vassiliadis', 'Apostolos V. Zarras']|2014|CAiSE
conf/edbt/BeineHWC14|https://ceur-ws.org/Vol-1133/paper-16.pdf|Bidirectional Transformations in Database Evolution: A Case Study &quot;At Scale&quot;.|['Mathieu Beine', 'Nicolas Hames', 'Jens H. Weber', 'Anthony Cleve']|2014|EDBT/ICDT Workshops
conf/csmr/GoeminneDM14|https://doi.org/10.1109/CSMR-WCRE.2014.6747193|Co-evolving code-related and database-related changes in a data-intensive software system.|['Mathieu Goeminne', 'Alexandre Decan', 'Tom Mens']|2014|CSMR-WCRE
conf/adbis/Subotic14|https://doi.org/10.1007/978-3-319-10518-5_26|Data Warehouse Schema Evolution Perspectives.|['Danijela Subotic']|2014|ADBIS
conf/gvd/NosingerKH14|https://ceur-ws.org/Vol-1313/paper_3.pdf|Optimization of Sequences of XML Schema Modifications - The ROfEL Approach.|['Thomas Nösinger', 'Meike Klettke', 'Andreas Heuer 0001']|2014|Grundlagen von Datenbanken
conf/worldcist/PereiraP14|https://doi.org/10.1007/978-3-319-05948-8_3|Towards a Flexible and Transparent Database Evolution.|['Rui Humberto R. Pereira', 'J. Baltasar García Pérez-Schofield']|2014|WorldCIST
conf/comad/NeamtiuBULB13|http://comad.in/comad2013/pdfs/neamtiu.pdf|Improving Cloud Availability with On-the-fly Schema Updates.|['Iulian Neamtiu', 'Jonathan Bardin', 'Md. Reaz Uddin', 'Dien-Yen Lin', 'Pamela Bhattacharya']|2013|COMAD
conf/icdim/CastelltortL13|https://doi.org/10.1109/ICDIM.2013.6694022|Representing history in graph-oriented NoSQL databases: A versioning system.|['Arnaud Castelltort', 'Anne Laurent']|2013|ICDIM
conf/icsm/GobertMCW13|https://doi.org/10.1109/ICSM.2013.75|Understanding Schema Evolution as a Basis for Database Reengineering.|['Maxime Gobert 0001', 'Jerome Maes', 'Anthony Cleve', 'Jens H. Weber']|2013|ICSM
conf/idc/ChytilPNH13|https://doi.org/10.1007/978-3-319-01571-2_2|Evolution of a Relational Schema and Its Impact on SQL Queries.|['Martin Chytil', 'Marek Polák', 'Martin Necaský', 'Irena Holubová']|2013|IDC
conf/iiwas/NecaskyKMH13|https://doi.org/10.1145/2539150.2539189|Methodology for Design and Evolution of XML Schemas using Conceptual Modeling.|['Martin Necaský', 'Jakub Klímek', 'Jakub Malý', 'Irena Holubová']|2013|iiWAS
conf/sbbd/DesantiBFS13|http://www.lbd.dcc.ufmg.br/colecoes/sbbd/2013/007.pdf|A Redundancy-Free Approach to Schema Evolution.|['Claudiomar Desanti', 'Marcos Bernardelli', 'Márcio Fuckner', 'Raquel Kolitski Stasiu']|2013|SBBD
conf/sigsoft/QiuLS13|https://doi.org/10.1145/2491411.2491431|An empirical analysis of the co-evolution of schema and code in database applications.|['Dong Qiu', 'Bixin Li', 'Zhendong Su 0001']|2013|ESEC/SIGSOFT FSE
conf/doceng/HasegawaIS13|https://ceur-ws.org/Vol-1008/paper4.pdf|An Algorithm for Transforming XPath Expressions According to Schema Evolution.|['Kazuma Hasegawa', 'Kosetsu Ikeda', 'Nobutaka Suzuki']|2013|DChanges
journals/corr/ScherzingerKS13|http://arxiv.org/abs/1308.0514|Managing Schema Evolution in NoSQL Data Stores.|['Stefanie Scherzinger', 'Meike Klettke', 'Uta Störl']|2013|DBPL
conf/gvd/NosingerKH13|https://ceur-ws.org/Vol-1020/paper_05.pdf|A Conceptual Model for the XML Schema Evolution.|['Thomas Nösinger', 'Meike Klettke', 'Andreas Heuer 0001']|2013|Grundlagen von Datenbanken
conf/semweb/DividinoSGG13|https://ceur-ws.org/Vol-1034/DividinoEtAl_COLD2013.pdf|Change-a-LOD: Does the Schema on the Linked Data Cloud Change or Not?|['Renata Queiroz Dividino', 'Ansgar Scherp', 'Gerd Gröner', 'Thomas Grotton']|2013|COLD
conf/trustcom/BaqasahPHR13|https://doi.org/10.1109/TrustCom.2013.119|On Change Detection of XML Schemas.|['Abdullah M. Baqasah', 'Eric Pardede', 'Irena Holubová', 'J. Wenny Rahayu']|2013|TrustCom/ISPA/IUCC
conf/issta/0003D13|https://doi.org/10.1145/2489280.2489283|Early detection of faults related to database schematic changes.|['Deepak Garg 0003', 'Amitava Datta']|2013|JAMAICA@ISSTA
conf/caise/BrummermannKS13|https://doi.org/10.1007/978-3-642-38709-8_27|Managing the Evolution and Customization of Database Schemas in Information System Ecosystems.|['Hendrik Brummermann', 'Markus Keunecke', 'Klaus Schmid']|2013|CAiSE
conf/mompes/MoriC12|https://doi.org/10.1007/978-3-642-38209-3_6|Feature-Based Adaptation of Database Schemas.|['Marco Mori', 'Anthony Cleve']|2012|MOMPES
conf/isdevel/PolakMP12|https://doi.org/10.1007/978-1-4614-7540-8_31|XML Query Adaptation as Schema Evolves.|['Marek Polák', 'Irena Mlýnková', 'Eric Pardede']|2012|ISD
conf/missi/MarciniakP12|https://doi.org/10.1007/978-3-642-32335-5_15|Tracking Changes in Database Schemas.|['Jakub Marciniak', 'Tadeusz Pankowski']|2012|MISSI
conf/dolap/0001RSA12|https://doi.org/10.1145/2390045.2390047|ORE: an iterative approach to the design and evolution of multi-dimensional schemas.|['Petar Jovanovic 0001', 'Oscar Romero 0001', 'Alkis Simitsis', 'Alberto Abelló']|2012|DOLAP
conf/apnoms/ChenJHL12|https://doi.org/10.1109/APNOMS.2012.6356090|Design and implementation of database schema evolution for service continuity of web-based internet applications.|['Yi-Chang Chen', 'Jeu-Yih Jeng', 'Teh-Sheng Huang', 'Phone Lin']|2012|APNOMS
conf/bpm/ChiaoKR12|https://doi.org/10.1007/978-3-642-36285-9_37|Schema Evolution in Object and Process-Aware Information Systems: Issues and Challenges.|['Carolina Ming Chiao', 'Vera Künzle', 'Manfred Reichert']|2012|Business Process Management Workshops
conf/er/ZaschkeLN12|https://doi.org/10.1007/978-3-642-34002-4_29|Optimising Schema Evolution Operation Sequences in Object Databases for Data Evolution.|['Tilmann Zäschke', 'Stefania Leone', 'Moira C. Norrie']|2012|ER
conf/dexa/HuoT12|https://doi.org/10.1007/978-3-642-32600-4_20|Querying Transaction-Time Databases under Branched Schema Evolution.|['Wenyu Huo', 'Vassilis J. Tsotras']|2012|DEXA
conf/icst/GargD12|https://doi.org/10.1109/ICST.2012.163|Test Case Prioritization Due to Database Changes in Web Applications.|['Deepak Garg 0003', 'Amitava Datta']|2012|ICST
conf/oopsla/SalamaMR12|https://doi.org/10.1145/2384716.2384766|A methodology for managing database and code changes in a regression testing framework.|['Roberto Salama', 'James McGuire', 'Michael K. Rosenberg']|2012|SPLASH
conf/compsac/SongPXZ12|https://doi.org/10.1109/COMPSAC.2012.21|Automatic Adaptation of Software Applications to Database Evolution by Graph Differencing and AOP-Based Dynamic Patching.|['Yang Song', 'Xin Peng 0001', 'Zhenchang Xing', 'Wenyun Zhao']|2012|COMPSAC
conf/tapp/GaoZ12|https://www.usenix.org/conference/tapp12/workshop-program/presentation/gao|Provenance Management in Databases Under Schema Evolution.|['Shi Gao', 'Carlo Zaniolo']|2012|TaPP
conf/icws/KlimekN12|https://doi.org/10.1109/ICWS.2012.11|Formal Evolution of XML Schemas with Inheritance.|['Jakub Klímek', 'Martin Necaský']|2012|ICWS
conf/waim/XueSNKY12|https://doi.org/10.1007/978-3-642-32281-5_40|A Transparent Approach for Database Schema Evolution Using View Mechanism.|['Jianxin Xue', 'Derong Shen', 'Tiezheng Nie', 'Yue Kou', 'Ge Yu 0001']|2012|WAIM
conf/er/GaoZ12|https://doi.org/10.1007/978-3-642-33999-8_9|Supporting Database Provenance under Schema Evolution.|['Shi Gao', 'Carlo Zaniolo']|2012|ER Workshops
conf/wism/ZhangLS11|https://doi.org/10.1007/978-3-642-23971-7_47|Data Privacy Preservation during Schema Evolution for Multi-tenancy Applications in Cloud Computing.|['Kun Zhang 0013', 'Qingzhong Li', 'Yuliang Shi']|2011|WISM
conf/sac/PicalausaSZ11|https://doi.org/10.1145/1982185.1982530|XEvolve: an XML schema evolution framework.|['François Picalausa', 'Frédéric Servais', 'Esteban Zimányi']|2011|SAC
conf/otm/NecaskyMK11|https://doi.org/10.1007/978-3-642-25126-9_63|Model-Driven Approach to XML Schema Evolution.|['Martin Necaský', 'Irena Mlýnková', 'Jakub Klímek']|2011|OTM Workshops
conf/icwe/BraunschweigTL11|https://doi.org/10.1007/978-3-642-27997-3_29|A Flexible Graph-Based Data Model Supporting Incremental Schema Design and Evolution.|['Katrin Braunschweig', 'Maik Thiele', 'Wolfgang Lehner']|2011|ICWE Workshops
conf/icde/WuN11|https://doi.org/10.1109/ICDEW.2011.5767627|Schema evolution analysis for embedded databases.|['Shengfeng Wu', 'Iulian Neamtiu']|2011|ICDE Workshops
conf/ercimdl/Brunsmann11|https://ceur-ws.org/Vol-801/paper3.pdf|Semantic Exploration of Archived Product Lifecycle Metadata under Schema and Instance Evolution.|['Jörg Brunsmann']|2011|SDA
conf/er/QuintarelliRT11|https://doi.org/10.1007/978-3-642-24606-7_22|Context Schema Evolution in Context-Aware Data Management.|['Elisa Quintarelli', 'Emanuele Rabosio', 'Letizia Tanca']|2011|ER
conf/icde/CavalieriGM11a|https://doi.org/10.1109/ICDEW.2011.5767672|Updates on XML documents and schemas.|['Federico Cavalieri', 'Giovanna Guerrini', 'Marco Mesiti']|2011|ICDE Workshops
conf/icde/CavalieriGMO11|https://doi.org/10.1109/ICDEW.2011.5767649|On the reduction of sequences of XML document and schema update operations.|['Federico Cavalieri', 'Giovanna Guerrini', 'Marco Mesiti', 'Barbara Oliboni']|2011|ICDE Workshops
conf/gpce/VermolenWV11|https://doi.org/10.1145/2047862.2047876|Generating database migrations for evolving web applications.|['Sander Daniël Vermolen', 'Guido Wachsmuth', 'Eelco Visser']|2011|GPCE
conf/edbt/LiuHHC11|https://doi.org/10.1145/1951365.1951380|Efficient and scalable data evolution with column oriented databases.|['Ziyang Liu 0001', 'Bin He 0001', 'Hui-I Hsiao', 'Yi Chen 0001']|2011|EDBT
conf/hase/AssoudiL11|https://doi.org/10.1109/HASE.2011.42|Self-Healing Data Exchange Process under Evolving Schemas: A New Mapping Adaptation Approach Based on Self-Optimization.|['Hicham Assoudi', 'Hakim Lounis']|2011|HASE
conf/icde/Decker11|https://doi.org/10.1109/ICDEW.2011.5767628|Causes for inconsistency-tolerant schema update management.|['Hendrik Decker']|2011|ICDE Workshops
journals/tweb/BleifussBNS25|https://doi.org/10.1145/3742920|Schema Change Recommendation for User-Curated Webtables Using Temporal Data.|['Tobias Bleifuß', 'Leon Bornemann', 'Felix Naumann', 'Divesh Srivastava']|2025|ACM Trans. Web
journals/pvldb/AntonopoulosCDJKKKOPRST25|https://www.vldb.org/pvldb/vol18/p4791-antonopoulos.pdf|MD-MVCC: Multi-version Concurrency Control for Schema Changes in Azure SQL Database.|['Panagiotis Antonopoulos', 'Mansi Chauhan', 'Shailender Dabas', 'Rajat Jain', 'Darshan Kattera', 'Wonseok Kim', 'Hanuma Kodavalla', 'Nikolas Ogg', 'Prashanth Purnananda', 'Rahul Ranjan', 'Alex Swanson', 'Divyesh Tikmani']|2025|Proc. VLDB Endow.
journals/pvldb/ZhangQSTGSL25|https://www.vldb.org/pvldb/vol18/p3655-zhang.pdf|EVOSCHEMA: TOWARDS TEXT-TO-SQL ROBUSTNESS AGAINST SCHEMA EVOLUTION.|['Tianshu Zhang 0001', 'Kun Qian 0002', 'Siddhartha Sahai', 'Yuan Tian', 'Shaddy Garg', 'Huan Sun 0001', 'Yunyao Li 0001']|2025|Proc. VLDB Endow.
journals/infsof/SuarezOteroMST25|https://doi.org/10.1016/j.infsof.2025.107834|Data migration for column family database evolution.|['Pablo Suárez-Otero', 'Michael J. Mior', 'María José Suárez-Cabal', 'Javier Tuya']|2025|Inf. Softw. Technol.
journals/tosem/PerezRZ25|https://doi.org/10.1145/3697008|PROV-IDEA: Supporting Interoperable Schema and Data Provenance within Database Evolution.|['Beatriz Pérez 0001', 'Ángel Luis Rubio', 'María A. Zapata']|2025|ACM Trans. Softw. Eng. Methodol.
journals/jss/RamosVidalACLPP25|https://doi.org/10.1016/j.jss.2024.112285|SPL-DB-Sync: Seamless database transformation during feature-driven changes.|['Delfina Ramos-Vidal', 'Wesley K. G. Assunção', 'Alejandro Cortiñas 0001', 'Miguel R. Luaces', 'Oscar Pedreira', 'Ángeles Saavedra Places']|2025|J. Syst. Softw.
journals/tkde/ChillonKRM24|https://doi.org/10.1109/TKDE.2024.3362273|A Generic Schema Evolution Approach for NoSQL and Relational Databases.|['Alberto Hernández Chillón', 'Meike Klettke', 'Diego Sevilla Ruiz', 'Jesús García Molina']|2024|IEEE Trans. Knowl. Data Eng.
journals/programming/EdwardsPSL24|https://doi.org/10.22152/programming-journal.org/2025/9/2|Schema Evolution in Interactive Programming Systems.|['Jonathan Edwards', 'Tomas Petricek 0001', 'Tijs van der Storm', 'Geoffrey Litt']|2024|Art Sci. Eng. Program.
journals/dke/FedushkoMSS24|https://doi.org/10.1016/j.datak.2024.102369|NoSQL document data migration strategy in the context of schema evolution.|['Solomiia Fedushko', 'Roman Malyi', 'Yuriy Syerov', 'Pavlo Serdyuk']|2024|Data Knowl. Eng.
journals/jss/SuarezOteroMCT23|https://doi.org/10.1016/j.jss.2023.111743|CoDEvo: Column family database evolution using model transformations.|['Pablo Suárez-Otero', 'Michael J. Mior', 'María José Suárez-Cabal', 'Javier Tuya']|2023|J. Syst. Softw.
journals/pvldb/Hu0Z22|https://www.vldb.org/pvldb/vol16/p140-hu.pdf|Online Schema Evolution is (almost) Free for Snapshot Databases.|['Tianxun Hu', 'Tianzheng Wang 0001', 'Qingqing Zhou']|2022|Proc. VLDB Endow.
journals/is/VassiliadisK22|https://doi.org/10.1016/j.is.2022.102109|Taxa and super taxa of schema evolution and their relationship to activity, heartbeat and duration.|['Panos Vassiliadis', 'George Kalampokis']|2022|Inf. Syst.
journals/sncs/AkazawaMS22|https://doi.org/10.1007/s42979-022-01086-0|An Algorithm for Transforming Property Path Query Based on Shape Expression Schema Update.|['Goki Akazawa', 'Naoto Matsubara', 'Nobutaka Suzuki']|2022|SN Comput. Sci.
journals/jss/OvereemSJB21|https://doi.org/10.1016/j.jss.2021.110970|An empirical characterization of event sourced systems and their schema evolution - Lessons from industry.|['Michiel Overeem', 'Marten Spoor', 'Slinger Jansen', 'Sjaak Brinkkemper']|2021|J. Syst. Softw.
journals/jdwm/AhmedZVW21|https://doi.org/10.4018/ijdwm.2021100101|Schema Evolution in Multiversion Data Warehouses.|['Waqas Ahmed 0003', 'Esteban Zimányi', 'Alejandro A. Vaisman', 'Robert Wrembel']|2021|Int. J. Data Warehous. Min.
journals/dpd/SchulerK21|https://doi.org/10.1007/s10619-020-07314-x|CHiSEL: a user-oriented framework for simplifing database evolution.|['Robert Schuler', 'Carl Kesselman']|2021|Distributed Parallel Databases
journals/dke/HolubovaVS21|https://doi.org/10.1016/j.datak.2021.101932|Evolution management in multi-model databases.|['Irena Holubová', 'Michal Vavrek', 'Stefanie Scherzinger']|2021|Data Knowl. Eng.
journals/ijwis/ChabinEFH21|https://doi.org/10.1108/IJWIS-03-2021-0033|Graph rewriting rules for RDF database evolution: optimizing side-effect processing.|['Jacques Chabin', 'Cédric Eichler', 'Mírian Halfeld Ferrari', 'Nicolas Hiot']|2021|Int. J. Web Inf. Syst.
journals/computing/VassiliadisKZZ19|https://doi.org/10.1007/s00607-019-00702-x|Schema evolution and foreign keys: a study on usage, heartbeat of change and relationship of foreign keys to table activity.|['Panos Vassiliadis', 'Michail-Romanos Kolozoff', 'Maria Zerva', 'Apostolos V. Zarras']|2019|Computing
journals/dpd/PrabhuneSSHG18|https://doi.org/10.1007/s10619-017-7210-4|MetaStore: an adaptive metadata management framework for heterogeneous metadata models.|['Ajinkya Prabhune', 'Rainer Stotzka', 'Vaibhav Sakharkar', 'Jürgen Hesser', 'Michael Gertz 0001']|2018|Distributed Parallel Databases
journals/isf/HerrmannVRBL18|https://doi.org/10.1007/s10796-016-9730-2|Robust and simple database evolution.|['Kai Herrmann 0002', 'Hannes Voigt', 'Jonas Rausch', 'Andreas Behrend', 'Wolfgang Lehner']|2018|Inf. Syst. Frontiers
journals/jd/LiS18|https://doi.org/10.1108/JD-03-2017-0042|Provenance description of metadata application profiles for long-term maintenance of metadata schemas.|['Chunqiu Li', 'Shigeo Sugimoto']|2018|J. Documentation
journals/cacm/StonebrakerFDB17|https://doi.org/10.1145/3014349|What to do about database decay.|['Michael Stonebraker', 'Raul Castro Fernandez', 'Dong Deng 0001', 'Michael L. Brodie']|2017|Commun. ACM
journals/jodsn/VassiliadisZ17|https://doi.org/10.1007/s13740-017-0083-x|Schema Evolution Survival Guide for Tables: Avoid Rigid Childhood and You&apos;re En Route to a Quiet Life.|['Panos Vassiliadis', 'Apostolos V. Zarras']|2017|J. Data Semant.
journals/is/VassiliadisZS17|https://doi.org/10.1016/j.is.2016.06.010|Gravitating to rigidity: Patterns of schema evolution - and its absence - in the lives of tables.|['Panos Vassiliadis', 'Apostolos V. Zarras', 'Ioannis Skoulis']|2017|Inf. Syst.
journals/ijiids/AnguelAB17|https://doi.org/10.1504/IJIIDS.2017.10007348|Using logic programming for adapting models to metamodel evolution.|['Fouzia Anguel', 'Abdelkrim Amirat', 'Nora Bounour']|2017|Int. J. Intell. Inf. Database Syst.
journals/spe/PereiraPO17|https://doi.org/10.1002/spe.2415|Modularizing application and database evolution - an aspect-oriented framework for orthogonal persistence.|['Rui Humberto R. Pereira', 'J. Baltasar García Pérez-Schofield', 'Francisco Ortin']|2017|Softw. Pract. Exp.
journals/cacm/GuhaBM16|https://doi.org/10.1145/2844544|Schema.org: evolution of structured data on the web.|['Ramanathan V. Guha', 'Dan Brickley', 'Steve Macbeth']|2016|Commun. ACM
journals/sosym/MilovanovicM15|https://doi.org/10.1007/s10270-013-0378-9|An interactive tool for UML class model evolution in database applications.|['Vukasin Milovanovic', 'Dragan Milicev']|2015|Softw. Syst. Model.
journals/ijwgs/BaqasahPRH15|https://doi.org/10.1504/IJWGS.2015.068897|XS-Diff: XML schema change detection algorithm.|['Abdullah M. Baqasah', 'Eric Pardede', 'J. Wenny Rahayu', 'Irena Holubová']|2015|Int. J. Web Grid Serv.
journals/scp/CleveGMMW15|https://doi.org/10.1016/j.scico.2013.11.025|Understanding database schema evolution: A case study.|['Anthony Cleve', 'Maxime Gobert 0001', 'Loup Meurice', 'Jerome Maes', 'Jens H. Weber']|2015|Sci. Comput. Program.
journals/is/QuintarelliRT15|https://doi.org/10.1016/j.is.2014.11.008|A principled approach to context schema evolution in a data management perspective.|['Elisa Quintarelli', 'Emanuele Rabosio', 'Letizia Tanca']|2015|Inf. Syst.
journals/informaticaLT/KlimekMNH15|http://content.iospress.com/articles/informatica/inf1065|eXolutio: Methodology for Design and Evolution of XML Schemas Using Conceptual Modeling.|['Jakub Klímek', 'Jakub Malý', 'Martin Necaský', 'Irena Holubová']|2015|Informatica
journals/bpmj/ArunagiriR15|https://doi.org/10.1108/BPMJ-07-2013-0097|Data perspectives of workflow schema evolution.|['Aravindhan Arunagiri', 'Parthasarathy Ramachandran']|2015|Bus. Process. Manag. J.
journals/idt/TalebTL14|https://doi.org/10.3233/IDT-130176|A method based on OWL schema for detecting changes between Ontology&apos;s versions.|['Nora Taleb', 'Bornia Tighiouart', 'Sara Laiche']|2014|Intell. Decis. Technol.
journals/ijitwe/BrahmiaGOB14|https://doi.org/10.4018/ijitwe.2014040102|Schema Change Operations for Full Support of Schema Versioning in the τXSchema Framework.|['Zouhaier Brahmia', 'Fabio Grandi 0001', 'Barbara Oliboni', 'Rafik Bouaziz']|2014|Int. J. Inf. Technol. Web Eng.
journals/jdm/LiuTC13a|https://doi.org/10.4018/jdm.2013010102|Aiding Maintenance of Database Applications Through Extracting Attribute Dependency Graph.|['Kaiping Liu', 'Hee Beng Kuan Tan', 'Xu Chen']|2013|J. Database Manag.
journals/isse/MarksS13|https://doi.org/10.1007/s11334-013-0217-8|A metadata driven approach to performing complex heterogeneous database schema migrations.|['Robert M. Marks', 'Roy Sterritt']|2013|Innov. Syst. Softw. Eng.
journals/pvldb/RaeRSSV13|http://www.vldb.org/pvldb/vol6/p1045-rae.pdf|Online, Asynchronous Schema Change in F1.|['Ian Rae', 'Eric Rollins', 'Jeff Shute', 'Sukhdeep S. Sodhi', 'Radek Vingralek']|2013|Proc. VLDB Endow.
journals/is/ZhaoL13|https://doi.org/10.1016/j.is.2013.03.006|Version management for business process schema evolution.|['Xiaohui Zhao 0001', 'Chengfei Liu']|2013|Inf. Syst.
journals/tse/PiccioniOM13|https://doi.org/10.1109/TSE.2011.123|Class Schema Evolution for Persistent Object-Oriented Software: Model, Empirical Study, and Automated Support.|['Marco Piccioni', 'Manuel Oriol', 'Bertrand Meyer 0001']|2013|IEEE Trans. Software Eng.
journals/vldb/CurinoMDZ13|https://doi.org/10.1007/s00778-012-0302-x|Automating the database schema evolution process.|['Carlo Curino', 'Hyun Jin Moon', 'Alin Deutsch', 'Carlo Zaniolo']|2013|VLDB J.
journals/cai/SilvaPVM12|http://www.cai.sk/ojs/index.php/cai/article/view/1009|Search-Based Evolution of XML Schemas.|['Julio Cesar Teodoro Silva', 'Aurora Trinidad Ramirez Pozo', 'Silvia Regina Vergilio', 'Martin A. Musicante']|2012|Comput. Informatics
journals/toit/GenevesLQ11|https://doi.org/10.1145/1993083.1993087|Impact of XML Schema Evolution.|['Pierre Genevès', 'Nabil Layaïda', 'Vincent Quint']|2011|ACM Trans. Internet Techn.
journals/infsof/GrolingerC11|https://doi.org/10.1016/j.infsof.2010.10.002|A unit test approach for database schema evolution.|['Katarina Grolinger', 'Miriam A. M. Capretz']|2011|Inf. Softw. Technol.
journals/infsof/DominguezLPRRZ11|https://doi.org/10.1016/j.infsof.2010.08.001|Evolution of XML schemas and documents from stereotyped UML class models: A traceable approach.|['Eladio Domínguez', 'Jorge Lloret', 'Beatriz Pérez 0001', 'Áurea Rodríguez', 'Ángel Luis Rubio', 'María Antonia Zapata']|2011|Inf. Softw. Technol.
journals/acj/AhmedALSBR11|http://ws.acs.org.au/jrpit/JRPITVolumes/JRPIT43/JRPIT43.2.89.pdf|Using Ontologies to Synchronize Change in Relational Database Systems.|['Waqas Ahmed 0002', 'Muhammad Ahtisham Aslam', 'Antonio A. Lopez-Lorca', 'Jun Shen 0001', 'Ghassan Beydoun', 'Debbie Richards 0001']|2011|J. Res. Pract. Inf. Technol.
